load_ref,origin,origin_state,destination,destination_state,pickup_date,delivery_date,equipment_type,weight_lbs,miles,buy_rate,sell_rate,status,customer,carrier,commodity
CW-2026-1001,Springdale,AR,Kansas City,MO,2026-01-07,2026-01-08,reefer,43000,338,1183.00,1537.90,delivered,Tyson Foods,Roadrunner Transportation,Poultry Products
CW-2026-1002,Cincinnati,OH,Nashville,TN,2026-01-08,2026-01-09,dry_van,38000,269,780.10,1014.13,delivered,Procter & Gamble,Daseke Inc,Household Goods
CW-2026-1003,Issaquah,WA,Portland,OR,2026-01-10,2026-01-10,dry_van,41000,176,528.00,686.40,delivered,Costco Wholesale,Pacific Coast Transport,Bulk Merchandise
CW-2026-1004,Moline,IL,Omaha,NE,2026-01-13,2026-01-14,flatbed,52000,312,1123.20,1460.16,delivered,John Deere,Anderson Trucking,Farm Equipment
CW-2026-1005,Boise,ID,Salt Lake City,UT,2026-01-14,2026-01-15,reefer,29000,340,1122.00,1458.60,delivered,Albertsons Companies,Mountain West Freight,Grocery
CW-2026-1006,St. Paul,MN,Chicago,IL,2026-01-16,2026-01-17,dry_van,36000,400,1160.00,1508.00,delivered,3M Company,Heartland Transport,Industrial Supplies
CW-2026-1007,St. Louis,MO,Dallas,TX,2026-01-19,2026-01-20,reefer,44000,640,2112.00,2745.60,delivered,Anheuser-Busch,Ruan Transportation,Beverages
CW-2026-1008,Benton Harbor,MI,Columbus,OH,2026-01-20,2026-01-21,dry_van,48000,296,828.80,1077.44,delivered,Whirlpool Corp,Penske Logistics,Appliances
CW-2026-1009,Charlotte,NC,Atlanta,GA,2026-01-22,2026-01-23,reefer,33000,245,808.50,1051.05,delivered,Coca-Cola Bottling,Gulf States Trucking,Beverages
CW-2026-1010,Bentonville,AR,Memphis,TN,2026-01-23,2026-01-23,dry_van,45000,210,567.00,737.10,delivered,Walmart Logistics,Lone Star Express,Mixed Retail
CW-2026-1011,Charlotte,NC,Birmingham,AL,2026-01-27,2026-01-28,flatbed,55000,362,1303.20,1694.16,delivered,Nucor Steel,Dixie Highway Carriers,Steel Coils
CW-2026-1012,Irving,TX,Houston,TX,2026-01-28,2026-01-28,dry_van,34000,225,562.50,731.25,delivered,Kimberly-Clark,Lone Star Express,Paper Products
CW-2026-1013,McLean,VA,Philadelphia,PA,2026-01-30,2026-01-31,reefer,30000,140,490.00,637.00,delivered,Mars Inc,NFI Industries,Confectionery
CW-2026-1014,Wayzata,MN,Des Moines,IA,2026-02-03,2026-02-04,dry_van,47000,244,707.60,919.88,delivered,Cargill Inc,Ruan Transportation,Grain Products
CW-2026-1015,Palo Alto,CA,Reno,NV,2026-02-04,2026-02-05,flatbed,40000,218,807.80,1050.14,delivered,Tesla Inc,Cascade Trucking,Battery Modules
CW-2026-1016,Springdale,AR,Atlanta,GA,2026-02-06,2026-02-07,reefer,42000,612,2080.80,2705.04,delivered,Tyson Foods,Roadrunner Transportation,Frozen Poultry
CW-2026-1017,Cincinnati,OH,St. Louis,MO,2026-02-10,2026-02-11,dry_van,37000,354,991.20,1288.56,delivered,Procter & Gamble,Kenan Advantage Group,Cleaning Products
CW-2026-1018,Issaquah,WA,San Francisco,CA,2026-02-11,2026-02-13,dry_van,39000,808,2424.00,3151.20,delivered,Costco Wholesale,Pacific Coast Transport,Electronics
CW-2026-1019,Moline,IL,Kansas City,MO,2026-02-13,2026-02-14,flatbed,53000,258,929.20,1207.96,delivered,John Deere,Anderson Trucking,Tractor Parts
CW-2026-1020,Boise,ID,Portland,OR,2026-02-14,2026-02-15,reefer,28000,430,1462.00,1900.60,delivered,Albertsons Companies,Cascade Trucking,Dairy & Frozen
CW-2026-1021,St. Paul,MN,Detroit,MI,2026-02-17,2026-02-18,dry_van,35000,690,1932.00,2511.60,delivered,3M Company,Midwest Motor Express,Adhesives
