Movement ID,Customer,Origin City,Origin State,Dest City,Dest State,Ship Date,Del Date,Equipment,Weight,Miles,Customer Charge,Carrier Pay,Fuel Surcharge,Margin,Margin %,Status,Commodity,Carrier Name,Carrier MC,Temperature
CW-70001,PepsiCo,Richmond,VA,Harrisburg,PA,2025-08-27,2025-08-29,Dry Van,38924,298,746,624,77,122,16.4,delivered,Beverages,Gulf Coast Carriers,MC-259166,
CW-70002,PepsiCo,Fort Myers,FL,Lynchburg,VA,2025-08-06,2025-08-09,Reefer,34573,859,2432,2036,284,396,16.3,in_transit,Beverages,Seminole Express,MC-298447,-10F
CW-70003,PepsiCo,Chattanooga,TN,Cincinnati,OH,2025-06-05,2025-06-06,Dry Van,41618,403,903,768,113,135,15.0,delivered,Sports Drinks,Badger Freight Inc,MC-312731,
CW-70004,PepsiCo,Flint,MI,Evansville,IN,2025-06-01,2025-06-02,Reefer,35300,247,783,637,79,146,18.6,dispatched,Beverages,Gulf Coast Carriers,MC-259166,34F
CW-70005,PepsiCo,Scranton,PA,Lynchburg,VA,2025-09-15,2025-09-17,Dry Van,41056,334,721,600,100,121,16.8,delivered,Sports Drinks,Empire State Trucking,MC-287734,
CW-70006,PepsiCo,Daytona Beach,FL,Columbus,GA,2025-06-28,2025-06-30,Reefer,35821,378,1135,970,140,165,14.5,delivered,Beverages,Blue Ridge Transport,MC-269879,-10F
CW-70007,PepsiCo,Atlanta,GA,Lynchburg,VA,2025-11-15,2025-11-16,Reefer,30705,511,1363,1105,185,258,18.9,covered,Sports Drinks,Eagle Freight Inc,MC-227027,-10F
CW-70008,PepsiCo,Flint,MI,Rockford,IL,2025-04-12,2025-04-13,Reefer,35053,362,1143,929,145,214,18.7,delivered,Sports Drinks,Shenandoah Freight,MC-323444,34F
CW-70009,PepsiCo,Albany,GA,Montgomery,AL,2025-07-01,2025-07-02,Dry Van,27535,150,680,323,51,357,52.5,delivered,Beverages,Mountain West Transport,MC-237740,
CW-70010,PepsiCo,Macon,GA,Cleveland,OH,2025-03-26,2025-03-28,Reefer,40392,637,1885,1599,256,286,15.2,delivered,Snack Foods,Wolverine Freight Inc,MC-302018,34F
