module,root_id,element,root_lemma,gloss_fil,example_fil,gloss_en_backgloss,example_en_backgloss,qa_status,reviewer_ok (Y/N),reviewer_notes
2,m2-despertarse,,despertar(se),magising,Nagigising ako ng alas-seis araw-araw.,to wake up,I wake up at six every day.,pending,,
2,m2-levantarse,,levantar(se),bumangon,Maaga akong bumabangon para pumasok sa klase.,to get up,I get up early to go to class.,pending,,
2,m2-ducharse,,duchar(se),maligo (sa dutsa),Naliligo ako bago mag-almusal.,to shower,I shower before breakfast.,pending,,
2,m2-vestirse,,vestir(se),magbihis,Mabilis akong nagbibihis dahil lagi akong nagmamadali.,to get dressed,I get dressed quickly because I am always in a hurry.,pending,,
2,m2-acostarse,,acostar(se),matulog / mahiga,Sa gabi natutulog ako ng alas-diyes.,to go to bed,At night I go to bed at ten.,pending,,
2,m2-ciudad,,ciudad,lungsod,Ang Makati ay isang napaka-modernong lungsod.,city,Makati is a very modern city.,pending,,
2,m2-calle,,calle,kalye / daan,Naglalakad ako sa kalye papunta sa opisina.,street,I walk along the street to the office.,pending,,
2,m2-oficina,,oficina,opisina,Nagtatrabaho ako sa isang opisina sa sentro.,office,I work in an office downtown.,pending,,
2,m2-mercado,,mercado,palengke / merkado,Tuwing Sabado pumupunta ang aking ina sa palengke.,market,My mother goes to the market on Saturdays.,pending,,
2,m2-parada,,parada,hintuan / paradahan,Naghihintay ako ng bus sa hintuan malapit sa bahay.,stop (bus / jeepney stop),I wait for the bus at the stop near home.,pending,,
2,m2-hora,,hora,oras,Anong oras na? Ala-una na ng hapon.,hour / time,What time is it? It is one in the afternoon.,pending,,
2,m2-manana,,mañana,umaga / bukas,Sa umaga nag-aalmusal ako at nagbabasa nang kaunti.,morning / tomorrow,In the morning I have breakfast and read a little.,pending,,
2,m2-tarde,,tarde,hapon / huli,Sa hapon mag-aaral ako sa aklatan.,afternoon / late,In the afternoon I am going to study in the library.,pending,,
2,m2-noche,,noche,gabi,Sa gabi naghahapunan ako kasama ang aking pamilya.,night,At night I have dinner with my family.,pending,,
2,m2-horario,,horario,iskedyul / talaorasan,Nagsisimula ng alas-otso ang iskedyul ng aking klase.,schedule / timetable,My class schedule starts at eight.,pending,,
2,m2-semana,,semana,linggo (sanlinggo),Nagtatrabaho ako mula Lunes hanggang Biyernes bawat linggo.,week,I work from Monday to Friday every week.,pending,,
2,m2-lunes,,lunes,Lunes,Sa Lunes magsisimula ako ng kursong Espanyol.,Monday,On Monday I am going to start a Spanish course.,pending,,
2,m2-mes,,mes,buwan,"Sa buwan ng Mayo, maraming pista sa Pilipinas.",month,In the month of May there are many fiestas in the Philippines.,pending,,
2,m2-ano,,año,taon,Sa taong ito marami akong matututuhang Espanyol.,year,This year I am going to learn a lot of Spanish.,pending,,
2,m2-fecha,,fecha,petsa,Ano ang petsa ngayon? Ika-labindalawa ng Hunyo.,date (calendar),What is today's date? It is the twelfth of June.,pending,,
2,m2-desayunar,,desayunar,mag-almusal,Lagi akong nag-aalmusal ng kanin at itlog.,to have breakfast,I always have rice and an egg for breakfast.,pending,,
2,m2-comer,,comer,kumain / mananghalian,Kumakain ako kasama ang aking mga kasamahan tuwing tanghali.,to eat / to have lunch,I eat with my coworkers at noon.,pending,,
2,m2-salir,,salir,umalis / lumabas,Umaalis ako ng bahay ng alas-siyete ng umaga.,to leave / to go out,I leave the house at seven in the morning.,pending,,
2,m2-volver,,volver,bumalik / umuwi,Umuuwi ako ng alas-seis ng hapon.,to return / to come back,I come back home at six in the evening.,pending,,
2,m2-estudiar,,estudiar,mag-aral,Nag-aaral ako ng Espanyol nang dalawang oras araw-araw.,to study,I study Spanish two hours every day.,pending,,
2,m2-siempre,,siempre,lagi / palagi,Lagi akong nagsisipilyo pagkatapos kumain.,always,I always brush my teeth after eating.,pending,,
2,m2-nunca,,nunca,hindi kailanman,Hindi ako kailanman natutulog bago mag-alas-nuwebe.,never,I never go to bed before nine.,pending,,
2,m2-aveces,,a veces,kung minsan,Kung minsan huli akong gumigising tuwing Linggo.,sometimes,Sometimes I get up late on Sundays.,pending,,
2,m2-frecuencia,,frecuencia,dalas (con frecuencia = madalas),Madalas akong pumunta sa parke sa hapon.,frequency (con frecuencia = often),I often go to the park in the afternoon.,pending,,
2,m2-todoslosdias,,todos los días,araw-araw,Araw-araw maaga akong gumigising at nag-eehersisyo.,every day,Every day I wake up early and exercise.,pending,,
2,m2-ir,,ir,pumunta,Bukas dadalawin ko ang aking mga lolo't lola sa Cavite.,to go,Tomorrow I am going to visit my grandparents in Cavite.,pending,,
2,m2-plan,,plan,plano,Ang plano ko ay mag-aral ng Espanyol at pagkatapos maglakbay.,plan,My plan is to study Spanish and then travel.,pending,,
2,m2-finde,,fin de semana,katapusan ng linggo (weekend),Sa katapusan ng linggo magpapahinga ako kasama ang aking pamilya.,weekend,On the weekend I am going to rest with my family.,pending,,
2,m2-proximo,,próximo,susunod,Sa susunod na linggo magsisimula kami ng bagong proyekto.,next,Next week we are going to start a new project.,pending,,
2,m2-querer,,querer,gusto / nais,Gusto kong matuto ng Espanyol dahil magtatrabaho ako sa ibang bansa.,to want / to wish,I want to learn Spanish because I am going to work abroad.,pending,,
3,m3-casa,,casa,bahay,Maliit ang aking bahay ngunit napakalinis nito.,house / home,My house is small but it is very clean.,pending,,
3,m3-mueble,,mueble,kasangkapan / muwebles,Ang mga kasangkapan sa sala ay bago at komportable.,piece of furniture,The living-room furniture is new and is comfortable.,pending,,
3,m3-mesa,,mesa,mesa / lamesa,Marumi ang mesa sa kusina ngayon.,table,The kitchen table is dirty right now.,pending,,
3,m3-silla,,silla,silya / upuan,Luma ang silyang ito ngunit napakatibay nito.,chair,This chair is old but it is very sturdy.,pending,,
3,m3-habitacion,,habitación,silid / kuwarto,Maayos ang kuwarto at napakaliwanag nito.,room / bedroom,The bedroom is tidy and is very bright.,pending,,
