order_id,orderline_id,sku,quantity,picking_unit,unit_of_measure,order_date,picking_date,picking_time,ship_date,ship_time,customer_id,shipping_method
SO-200001,SO-200001-01,SP-1088,1,piece,EA,2025-01-01,2025-01-01,20:38:28,2025-01-01,15:49:59,C-12343,CEP
SO-200001,SO-200001-02,SP-1087,3,piece,EA,2025-01-01,2025-01-01,20:38:28,2025-01-01,15:49:59,C-12343,CEP
SO-200001,SO-200001-03,SP-1082,5,piece,EA,2025-01-01,2025-01-01,20:38:28,2025-01-01,15:49:59,C-12343,CEP
SO-200002,SO-200002-01,HB-1062,3,piece,EA,2025-01-01,2025-01-01,10:26:46,2025-01-01,06:09:13,C-14480,CEP
SO-200002,SO-200002-02,SP-1089,43,box,EA,2025-01-01,2025-01-01,10:26:46,2025-01-01,06:09:13,C-14480,CEP
SO-200002,SO-200002-03,EL-1008,2,piece,PK,2025-01-01,2025-01-01,10:26:46,2025-01-01,06:09:13,C-14480,CEP
SO-200003,SO-200003-01,CA-1103,5,piece,EA,2025-01-01,2025-01-01,18:42:08,2025-01-01,10:01:30,C-18061,Freight
SO-200003,SO-200003-02,TG-1115,4,piece,PK,2025-01-01,2025-01-01,18:42:08,2025-01-01,10:01:30,C-18061,Freight
SO-200004,SO-200004-01,CA-1097,5,piece,PK,2025-01-01,2025-01-02,19:50:19,2025-01-02,07:04:56,C-15135,CEP
SO-200004,SO-200004-02,AU-1131,4,piece,EA,2025-01-01,2025-01-02,19:50:19,2025-01-02,07:04:56,C-15135,CEP
SO-200004,SO-200004-03,SP-1086,3,piece,SET,2025-01-01,2025-01-02,19:50:19,2025-01-02,07:04:56,C-15135,CEP
SO-200004,SO-200004-04,CA-1099,1,piece,SET,2025-01-01,2025-01-02,19:50:19,2025-01-02,07:04:56,C-15135,CEP
SO-200005,SO-200005-01,CA-1101,3,piece,EA,2025-01-01,2025-01-02,16:22:48,2025-01-03,20:43:44,C-12688,Freight
SO-200005,SO-200005-02,HB-1063,46,box,PK,2025-01-01,2025-01-02,16:22:48,2025-01-03,20:43:44,C-12688,Freight
SO-200006,SO-200006-01,SP-1082,1,piece,EA,2025-01-01,2025-01-02,14:37:49,2025-01-02,18:40:17,C-16828,Freight
SO-200007,SO-200007-01,HK-1027,1,piece,SET,2025-01-01,2025-01-02,08:27:35,2025-01-03,07:20:04,C-16418,Freight
SO-200008,SO-200008-01,HK-1027,1,piece,SET,2025-01-01,2025-01-02,14:56:30,2025-01-03,16:10:42,C-17989,CEP
SO-200009,SO-200009-01,SP-1088,5,piece,EA,2025-01-01,2025-01-01,13:41:38,2025-01-01,15:20:25,C-12138,Freight
SO-200009,SO-200009-02,BM-1142,45,piece,EA,2025-01-01,2025-01-01,13:41:38,2025-01-01,15:20:25,C-12138,Freight
SO-200009,SO-200009-03,CA-1098,3,piece,EA,2025-01-01,2025-01-01,13:41:38,2025-01-01,15:20:25,C-12138,Freight
SO-200009,SO-200009-04,OF-1041,10,piece,EA,2025-01-01,2025-01-01,13:41:38,2025-01-01,15:20:25,C-12138,Freight
SO-200009,SO-200009-05,CA-1101,2,piece,EA,2025-01-01,2025-01-01,13:41:38,2025-01-01,15:20:25,C-12138,Freight
SO-200009,SO-200009-06,HB-1068,3,piece,EA,2025-01-01,2025-01-01,13:41:38,2025-01-01,15:20:25,C-12138,Freight
SO-200009,SO-200009-07,HK-1039,1,piece,SET,2025-01-01,2025-01-01,13:41:38,2025-01-01,15:20:25,C-12138,Freight
SO-200009,SO-200009-08,EL-1003,2,piece,EA,2025-01-01,2025-01-01,13:41:38,2025-01-01,15:20:25,C-12138,Freight
SO-200009,SO-200009-09,EL-1008,2,piece,PK,2025-01-01,2025-01-01,13:41:38,2025-01-01,15:20:25,C-12138,Freight
SO-200009,SO-200009-10,HK-1027,44,piece,SET,2025-01-01,2025-01-01,13:41:38,2025-01-01,15:20:25,C-12138,Freight
SO-200010,SO-200010-01,HK-1039,4,piece,SET,2025-01-01,2025-01-01,21:50:21,2025-01-01,13:21:55,C-10346,Express
SO-200010,SO-200010-02,SP-1088,4,piece,EA,2025-01-01,2025-01-01,21:50:21,2025-01-01,13:21:55,C-10346,Express
SO-200010,SO-200010-03,HK-1028,1,piece,PK,2025-01-01,2025-01-01,21:50:21,2025-01-01,13:21:55,C-10346,Express
SO-200010,SO-200010-04,OF-1050,3,piece,EA,2025-01-01,2025-01-01,21:50:21,2025-01-01,13:21:55,C-10346,Express
SO-200011,SO-200011-01,OF-1050,4,piece,EA,2025-01-01,2025-01-01,12:48:01,2025-01-01,20:30:02,C-12711,CEP
SO-200012,SO-200012-01,SP-1082,2,piece,EA,2025-01-01,2025-01-01,10:34:46,2025-01-01,06:05:38,C-16992,Freight
SO-200012,SO-200012-02,BM-1145,2,piece,EA,2025-01-01,2025-01-01,10:34:46,2025-01-01,06:05:38,C-16992,Freight
SO-200013,SO-200013-01,AU-1131,4,piece,EA,2025-01-01,2025-01-01,21:08:22,2025-01-02,18:50:35,C-13738,Freight
SO-200013,SO-200013-02,EL-1011,4,piece,EA,2025-01-01,2025-01-01,21:08:22,2025-01-02,18:50:35,C-13738,Freight
SO-200014,SO-200014-01,AU-1128,2,piece,PK,2025-01-01,2025-01-02,08:26:24,2025-01-02,07:56:21,C-19172,CEP
SO-200014,SO-200014-02,HK-1036,2,piece,SET,2025-01-01,2025-01-02,08:26:24,2025-01-02,07:56:21,C-19172,CEP
SO-200014,SO-200014-03,CA-1101,3,piece,EA,2025-01-01,2025-01-02,08:26:24,2025-01-02,07:56:21,C-19172,CEP
SO-200014,SO-200014-04,HK-1032,2,piece,EA,2025-01-01,2025-01-02,08:26:24,2025-01-02,07:56:21,C-19172,CEP
SO-200014,SO-200014-05,EL-1011,1,piece,EA,2025-01-01,2025-01-02,08:26:24,2025-01-02,07:56:21,C-19172,CEP
SO-200015,SO-200015-01,CA-1095,3,piece,EA,2025-01-01,2025-01-02,16:02:31,2025-01-02,09:40:57,C-11909,Freight
SO-200016,SO-200016-01,AU-1131,4,piece,EA,2025-01-01,2025-01-02,12:21:43,2025-01-03,21:07:13,C-19587,Express
SO-200016,SO-200016-02,TG-1108,3,piece,EA,2025-01-01,2025-01-02,12:21:43,2025-01-03,21:07:13,C-19587,Express
SO-200017,SO-200017-01,HK-1027,3,piece,SET,2025-01-01,2025-01-02,20:37:08,2025-01-02,19:58:00,C-16642,Express
SO-200018,SO-200018-01,HK-1024,46,piece,SET,2025-01-01,2025-01-01,17:46:32,2025-01-01,17:56:23,C-19828,Freight
SO-200019,SO-200019-01,HB-1068,4,piece,EA,2025-01-01,2025-01-01,17:00:32,2025-01-02,08:36:15,C-19556,CEP
SO-200019,SO-200019-02,TG-1112,28,piece,EA,2025-01-01,2025-01-01,17:00:32,2025-01-02,08:36:15,C-19556,CEP
SO-200020,SO-200020-01,CA-1095,2,piece,EA,2025-01-01,2025-01-01,20:34:39,2025-01-01,16:10:58,C-10730,Freight
SO-200021,SO-200021-01,TG-1112,2,piece,EA,2025-01-01,2025-01-01,16:12:32,2025-01-02,15:39:36,C-15199,CEP
SO-200022,SO-200022-01,EL-1011,2,piece,EA,2025-01-01,2025-01-01,20:49:27,2025-01-02,09:19:50,C-10786,Express
SO-200022,SO-200022-02,EL-1010,3,piece,EA,2025-01-01,2025-01-01,20:49:27,2025-01-02,09:19:50,C-10786,Express
SO-200023,SO-200023-01,HK-1028,2,piece,PK,2025-01-01,2025-01-01,08:22:02,2025-01-02,14:43:59,C-16893,Freight
SO-200024,SO-200024-01,OF-1050,1,piece,EA,2025-01-01,2025-01-02,06:10:05,2025-01-03,21:22:14,C-19407,CEP
SO-200025,SO-200025-01,HK-1022,16,box,EA,2025-01-01,2025-01-01,13:01:45,2025-01-01,06:52:47,C-18379,CEP
SO-200026,SO-200026-01,CA-1098,5,piece,EA,2025-01-01,2025-01-01,06:53:32,2025-01-02,06:56:07,C-16686,Freight
SO-200027,SO-200027-01,TG-1115,4,piece,PK,2025-01-01,2025-01-01,08:54:08,2025-01-01,21:06:49,C-18188,Freight
SO-200028,SO-200028-01,SP-1088,1,piece,EA,2025-01-01,2025-01-02,15:04:30,2025-01-03,17:30:55,C-17285,Express
SO-200029,SO-200029-01,CA-1095,2,piece,EA,2025-01-01,2025-01-02,13:49:17,2025-01-02,07:17:43,C-12557,Express
SO-200029,SO-200029-02,SP-1088,5,piece,EA,2025-01-01,2025-01-02,13:49:17,2025-01-02,07:17:43,C-12557,Express
SO-200029,SO-200029-03,EL-1008,4,piece,PK,2025-01-01,2025-01-02,13:49:17,2025-01-02,07:17:43,C-12557,Express
SO-200029,SO-200029-04,SP-1089,1,piece,EA,2025-01-01,2025-01-02,13:49:17,2025-01-02,07:17:43,C-12557,Express
SO-200029,SO-200029-05,OF-1050,10,piece,EA,2025-01-01,2025-01-02,13:49:17,2025-01-02,07:17:43,C-12557,Express
SO-200029,SO-200029-06,AU-1135,2,piece,EA,2025-01-01,2025-01-02,13:49:17,2025-01-02,07:17:43,C-12557,Express
SO-200029,SO-200029-07,EL-1010,1,piece,EA,2025-01-01,2025-01-02,13:49:17,2025-01-02,07:17:43,C-12557,Express
SO-200029,SO-200029-08,EL-1020,3,piece,EA,2025-01-01,2025-01-02,13:49:17,2025-01-02,07:17:43,C-12557,Express
SO-200029,SO-200029-09,OF-1053,4,piece,EA,2025-01-01,2025-01-02,13:49:17,2025-01-02,07:17:43,C-12557,Express
SO-200029,SO-200029-10,SP-1082,1,piece,EA,2025-01-01,2025-01-02,13:49:17,2025-01-02,07:17:43,C-12557,Express
SO-200029,SO-200029-11,PS-1122,4,piece,EA,2025-01-01,2025-01-02,13:49:17,2025-01-02,07:17:43,C-12557,Express
SO-200029,SO-200029-12,HK-1039,2,piece,SET,2025-01-01,2025-01-02,13:49:17,2025-01-02,07:17:43,C-12557,Express
SO-200029,SO-200029-13,HK-1036,3,piece,SET,2025-01-01,2025-01-02,13:49:17,2025-01-02,07:17:43,C-12557,Express
SO-200029,SO-200029-14,SP-1084,1,piece,EA,2025-01-01,2025-01-02,13:49:17,2025-01-02,07:17:43,C-12557,Express
SO-200029,SO-200029-15,TG-1112,5,piece,EA,2025-01-01,2025-01-02,13:49:17,2025-01-02,07:17:43,C-12557,Express
SO-200029,SO-200029-16,OF-1044,16,box,SET,2025-01-01,2025-01-02,13:49:17,2025-01-02,07:17:43,C-12557,Express
SO-200030,SO-200030-01,OF-1050,2,piece,EA,2025-01-01,2025-01-01,20:29:56,2025-01-01,07:26:29,C-16460,CEP
SO-200031,SO-200031-01,EL-1020,1,piece,EA,2025-01-01,2025-01-01,15:28:28,2025-01-02,06:57:51,C-15116,CEP
SO-200031,SO-200031-02,CA-1101,4,piece,EA,2025-01-01,2025-01-01,15:28:28,2025-01-02,06:57:51,C-15116,CEP
SO-200031,SO-200031-03,PS-1117,2,piece,PK,2025-01-01,2025-01-01,15:28:28,2025-01-02,06:57:51,C-15116,CEP
SO-200032,SO-200032-01,HK-1032,5,piece,EA,2025-01-01,2025-01-02,12:51:28,2025-01-02,14:11:30,C-19559,Express
SO-200032,SO-200032-02,TG-1115,2,piece,PK,2025-01-01,2025-01-02,12:51:28,2025-01-02,14:11:30,C-19559,Express
SO-200033,SO-200033-01,PS-1117,4,piece,PK,2025-01-01,2025-01-02,19:10:14,2025-01-02,19:23:32,C-12935,CEP
SO-200033,SO-200033-02,CA-1101,3,piece,EA,2025-01-01,2025-01-02,19:10:14,2025-01-02,19:23:32,C-12935,CEP
SO-200034,SO-200034-01,CA-1094,31,box,EA,2025-01-01,2025-01-01,20:38:30,2025-01-01,07:44:53,C-12750,Freight
SO-200034,SO-200034-02,SP-1086,4,piece,SET,2025-01-01,2025-01-01,20:38:30,2025-01-01,07:44:53,C-12750,Freight
SO-200034,SO-200034-03,EL-1011,1,piece,EA,2025-01-01,2025-01-01,20:38:30,2025-01-01,07:44:53,C-12750,Freight
SO-200035,SO-200035-01,OF-1050,5,piece,EA,2025-01-01,2025-01-01,14:46:51,2025-01-01,11:55:16,C-19290,CEP
SO-200036,SO-200036-01,SP-1088,3,piece,EA,2025-01-01,2025-01-02,16:51:50,2025-01-02,20:14:11,C-10103,Freight
SO-200036,SO-200036-02,EL-1003,14,piece,EA,2025-01-01,2025-01-02,16:51:50,2025-01-02,20:14:11,C-10103,Freight
