Movement ID,Customer,Shipper Location,Origin City,Origin State,Origin Zip,Consignee,Dest City,Dest State,Dest Zip,Ship Date,Del Date,Equipment,Weight,Miles,Customer Charge,Carrier Pay,Fuel Surcharge,Margin,Margin %,Rate Per Mile,Status,Commodity,Carrier Name,Carrier MC,Driver,Dispatcher,Sales Rep,Reference,Temperature
CW-50001,PepsiCo,PepsiCo Beverages DC,Tampa,FL,33602,PepsiCo Distribution Center,Atlanta,GA,30301,2026-03-16,2026-03-17,Reefer,42000,460,2944,2120,265,559,19.0,6.40,delivered,Beverages,Swift Transport LLC,MC-284927,Carlos Garcia,Natasa Parenta,Brendaly Rivera,PO-38271,34F
CW-50002,PepsiCo,Frito-Lay Distribution,Jacksonville,FL,32202,PepsiCo Regional Hub,Charlotte,NC,28201,2026-03-16,2026-03-17,Reefer,38000,540,3456,2488,311,657,19.0,6.40,delivered,Snack Foods,Eagle Freight Inc,MC-391054,James Williams,Milos Mandic,Brendaly Rivera,BOL-44512,34F
CW-50003,Spartan Nash,Spartan Nash DC Grand Rapids,Grand Rapids,MI,49501,Spartan Nash Distribution,Columbus,OH,43201,2026-03-16,2026-03-17,Reefer,36000,310,1984,1468,179,337,17.0,6.40,delivered,Grocery Products,Buckeye Freight Systems,MC-256783,Robert Johnson,Luka Cipovic,Ilija Tojagic,PO-51923,34F
CW-50004,PepsiCo,PepsiCo Tampa Warehouse,Tampa,FL,33602,PepsiCo Cold Storage Facility,Newark,NJ,07102,2026-03-16,2026-03-18,Reefer,44000,1090,6976,5372,628,976,14.0,6.40,delivered,Sports Drinks,Keystone Carriers Inc,MC-367894,Michael Brown,Natasa Parenta,Brendaly Rivera,PO-38274,34F
CW-50005,Performance Food Group,PFG Customized Distribution,Richmond,VA,23219,PFG Receiving Dock,Raleigh,NC,27601,2026-03-16,2026-03-16,Reefer,32000,170,1088,806,98,184,16.9,6.40,delivered,Restaurant Supplies,Cardinal Logistics LLC,MC-678905,David Martinez,Milos Mandic,Ilija Tojagic,BOL-67834,34F
CW-50006,Boise Paper,Boise Paper Mill,Boise,ID,83701,Boise Paper Distribution,Chicago,IL,60601,2026-03-16,2026-03-19,Flatbed,46000,1690,8450,7393,634,423,5.0,5.00,delivered,Paper Products,Mountain West Transport,MC-729415,William Davis,Luka Cipovic,Robert Workman,PO-72145,
CW-50007,PepsiCo,Gatorade Production Facility,Lakeland,FL,33801,PepsiCo Store DC,Philadelphia,PA,19101,2026-03-16,2026-03-18,Reefer,40000,1020,6528,5026,587,915,14.0,6.40,delivered,Sports Drinks,Evergreen Transport LLC,MC-478905,Jose Lopez,Natasa Parenta,Brendaly Rivera,BOL-44518,34F
CW-50008,Target,Target Regional DC,Edison,NJ,08817,Target Distribution Center,Richmond,VA,23219,2026-03-16,2026-03-17,Dry Van,28000,330,1848,1368,166,314,17.0,5.60,delivered,General Merchandise,Tri-State Hauling Inc,MC-345672,Thomas Wilson,Milos Mandic,Robert Workman,PO-83291,
CW-50009,Coca-Cola,Coca-Cola Bottling Consolidated,Atlanta,GA,30301,Coca-Cola Distribution Center,Tampa,FL,33602,2026-03-16,2026-03-17,Reefer,43000,470,3008,2225,271,512,17.0,6.40,delivered,Beverages,Gulf Coast Carriers,MC-334561,Daniel Anderson,Luka Cipovic,Brendaly Rivera,PO-29384,34F
CW-50010,PepsiCo,PepsiCo Southeast Hub,Orlando,FL,32801,PepsiCo Warehouse A,Savannah,GA,31401,2026-03-16,2026-03-17,Reefer,35000,280,1792,1290,161,341,19.0,6.40,delivered,Beverages,Sunbelt Carriers LLC,MC-618342,Carlos Martinez,Natasa Parenta,Brendaly Rivera,BOL-44523,34F
CW-50011,PepsiCo,Frito-Lay Distribution,Tampa,FL,33602,PepsiCo Cross-Dock Facility,Miami,FL,33101,2026-03-16,2026-03-16,Reefer,30000,82,984,795,89,100,10.2,12.00,delivered,Snack Foods,Seminole Express,MC-889016,Pedro Hernandez,Milos Mandic,Brendaly Rivera,PO-38280,34F
CW-50012,Kroger,Kroger Distribution Center,Cincinnati,OH,45201,Kroger Fresh Foods DC,Detroit,MI,48201,2026-03-16,2026-03-17,Reefer,34000,270,1728,1279,156,293,17.0,6.40,delivered,Grocery Products,Great Lakes Express,MC-801238,James Thomas,Luka Cipovic,Ilija Tojagic,BOL-55891,34F
CW-50013,PepsiCo,PepsiCo Beverages DC,Jacksonville,FL,32202,PepsiCo Regional Hub,Norfolk,VA,23501,2026-03-16,2026-03-18,Reefer,41000,680,4352,3353,392,607,13.9,6.40,delivered,Beverages,Carolina Freight Corp,MC-667895,Michael Moore,Natasa Parenta,Brendaly Rivera,PO-38283,34F
