customer_name,contact_name,phone,email,payment_terms,billing_address
PepsiCo Logistics,James Mitchell,+1-914-555-0132,logistics@pepsico.com,net_30,"700 Anderson Hill Rd, Purchase, NY 10577"
Sysco Foods,Linda Foster,+1-281-555-0198,freight@sysco.com,net_30,"1390 Enclave Pkwy, Houston, TX 77077"
Home Depot Supply,Kevin O'Brien,+1-770-555-0267,transportation@homedepot.com,net_15,"2455 Paces Ferry Rd, Atlanta, GA 30339"
Amazon Freight,Priya Sharma,+1-206-555-0214,carrier-pay@amazon.com,net_15,"410 Terry Ave N, Seattle, WA 98109"
Target Distribution,Michael Chang,+1-612-555-0183,logistics@target.com,net_30,"1000 Nicollet Mall, Minneapolis, MN 55403"
Costco Wholesale,Susan Perry,+1-425-555-0159,freight.ap@costco.com,net_30,"999 Lake Dr, Issaquah, WA 98027"
General Motors,Anthony Romano,+1-313-555-0241,supply.chain@gm.com,net_45,"300 Renaissance Center, Detroit, MI 48265"
Dollar General,Tammy Hayes,+1-615-555-0176,transportation@dollargeneral.com,net_30,"100 Mission Ridge, Goodlettsville, TN 37072"
Walmart Logistics,Derek Patterson,+1-479-555-0228,freight@walmart.com,net_15,"702 SW 8th St, Bentonville, AR 72712"
US Foods,Christine Bell,+1-847-555-0193,ap.freight@usfoods.com,net_30,"9399 W Higgins Rd, Rosemont, IL 60018"
3M Company,Ryan Kowalski,+1-651-555-0215,logistics@mmm.com,net_45,"3M Center, St Paul, MN 55144"
Kroger Supply,Angela Torres,+1-513-555-0187,transport@kroger.com,net_30,"1014 Vine St, Cincinnati, OH 45202"
Tyson Foods,Brandon Cole,+1-479-555-0264,shipping@tysonfoods.com,net_30,"2200 W Don Tyson Pkwy, Springdale, AR 72762"
Procter & Gamble,Elizabeth Warren,+1-513-555-0149,logistics@pg.com,net_45,"1 Procter & Gamble Plaza, Cincinnati, OH 45202"
Publix Super Markets,Jorge Mendez,+1-863-555-0238,freight@publix.com,net_30,"3300 Publix Corporate Pkwy, Lakeland, FL 33811"
