Carrier Name,MC Number,DOT Number,SCAC,Authority Status,Insurance Status,Auto Liability,Cargo Insurance,General Liability,Safety Rating,CSA Score,Out of Service Rate,Power Units,Drivers,Equipment Types,Home State,Payment Terms,Reliability Score,Risk Score,Last Verified,Insurance Expiry,Contract Status
Swift Transport LLC,MC-284927,3661849,SWFT,Active,Active,"$1,000,000","$100,000","$500,000",Satisfactory,23,4.4%,190,275,Dry Van,WI,Quick Pay,80,Medium,2026-01-26,2027-01-14,Pending
Eagle Freight Inc,MC-391054,3924097,EAGL,Active,Active,"$500,000","$500,000","$500,000",Satisfactory,20,22.0%,274,334,Dry Van,WI,Net 30,84,High,2026-03-07,2026-03-25,Active
Patriot Trucking Corp,MC-502187,3231835,PATR,Active,Active,"$1,000,000","$250,000","$2,000,000",Satisfactory,22,9.1%,302,345,Reefer,IN,Net 30,97,Low,2026-02-16,2026-08-14,Expired
Sunbelt Carriers LLC,MC-618342,3376380,SNBT,Active,Lapsed,"$1,000,000","$250,000","$2,000,000",Conditional,60,4.5%,311,446,Dry Van,NC,Quick Pay,76,Medium,2026-03-04,2025-12-21,Active
Mountain West Transport,MC-729415,1765922,MTWT,Active,Active,"$500,000","$100,000","$2,000,000",Satisfactory,20,17.3%,331,364,Reefer/Dry Van,VA,Net 45,92,Low,2026-03-09,2026-11-09,Active
Pacific Coast Logistics,MC-834528,1720291,PCCL,Active,Active,"$750,000","$250,000","$2,000,000",Satisfactory,60,20.8%,346,379,Dry Van,SC,Net 30,57,High,2026-02-28,2026-07-08,Active
Volunteer Express Inc,MC-145672,3803851,VLTR,Active,Active,"$750,000","$500,000","$2,000,000",Satisfactory,43,16.0%,101,145,Reefer,GA,Net 15,93,Low,2026-02-16,2026-10-19,Active
Buckeye Freight Systems,MC-256783,3144372,BCKY,Active,Expired,"$750,000","$250,000","$2,000,000",None,51,2.1%,37,45,Reefer/Dry Van,SC,Net 15,76,Medium,2026-02-12,2026-01-21,Active
Keystone Carriers Inc,MC-367894,1482250,KYST,Active,Active,"$1,000,000","$100,000","$1,000,000",None,37,11.1%,135,149,Reefer,SC,Net 30,85,Low,2026-02-23,2026-09-06,Expired
Evergreen Transport LLC,MC-478905,3654925,EGRN,Active,Active,"$500,000","$250,000","$500,000",Satisfactory,83,24.8%,141,166,Dry Van,TX,Net 30,78,High,2026-01-24,2027-01-24,Active
Gulf Coast Carriers,MC-334561,3496665,GLFC,Active,Active,"$750,000","$250,000","$2,000,000",Satisfactory,44,9.9%,130,190,Dry Van/Flatbed,VA,Quick Pay,71,Medium,2026-02-01,2026-10-03,Active
Great Lakes Express,MC-801238,3735352,GRLK,Active,Active,"$1,000,000","$500,000","$500,000",None,40,14.9%,161,173,Flatbed,PA,Net 15,49,Medium,2026-02-20,2026-10-15,Active
Lone Star Freight,MC-912349,3407038,LNST,Active,Lapsed,"$1,000,000","$250,000","$1,000,000",Conditional,46,3.7%,350,498,Reefer,VA,Net 30,96,Low,2026-01-23,2026-01-03,Active
Blue Ridge Transport,MC-123450,2982252,BLRG,Active,Active,"$1,000,000","$100,000","$1,000,000",None,23,18.4%,324,431,Reefer/Dry Van/Flatbed,PA,Quick Pay,86,Low,2026-03-09,2026-12-17,Expired
Carolina Freight Corp,MC-667895,1666704,CRLN,Active,Active,"$750,000","$250,000","$1,000,000",Satisfactory,49,15.0%,35,44,Reefer/Dry Van/Flatbed,MO,Net 30,82,Low,2026-03-06,2026-07-22,Active
Heartland Trucking Co,MC-456783,3702147,HRTL,Conditional,Active,"$750,000","$100,000","$500,000",Conditional,56,24.5%,285,405,Reefer/Dry Van/Flatbed,KY,Net 15,82,Low,2026-03-10,2026-11-29,Active
Cardinal Logistics LLC,MC-678905,3839025,CRDL,Active,Active,"$1,000,000","$250,000","$500,000",Satisfactory,90,10.4%,236,258,Reefer,NC,Quick Pay,76,High,2026-03-04,2026-07-20,Active
Redline Freight Corp,MC-667894,2251667,RDLN,Active,Active,"$1,000,000","$500,000","$2,000,000",None,40,15.9%,211,251,Dry Van,OH,Net 15,88,Low,2026-01-25,2027-01-24,Active
Empire State Trucking,MC-778906,1305572,EMPS,Active,Active,"$750,000","$250,000","$1,000,000",Satisfactory,64,8.5%,75,78,Flatbed,TN,Net 30,62,Low,2026-01-23,2027-03-01,Active
Tri-State Hauling Inc,MC-345672,3971510,TRST,Active,Expired,"$750,000","$100,000","$500,000",Satisfactory,64,14.0%,164,211,Dry Van,MD,Quick Pay,91,Low,2026-02-17,2025-12-29,Expired
Copperhead Carriers,MC-223451,3973429,CPHR,Active,Active,"$1,000,000","$250,000","$1,000,000",None,45,20.1%,151,154,Reefer/Dry Van,IL,Net 15,84,Low,2026-02-27,2026-12-07,Expired
Seminole Express,MC-889016,3093324,SMLE,Active,Active,"$1,000,000","$100,000","$2,000,000",Satisfactory,46,10.5%,173,207,Reefer,IN,Net 30,73,Medium,2026-03-10,2026-09-11,Active
Wolverine Freight Inc,MC-112349,3535124,WLVR,Active,Active,"$1,000,000","$250,000","$500,000",Conditional,27,3.0%,82,94,Dry Van,PA,Quick Pay,75,Medium,2026-03-12,2026-04-09,Pending
Sunbelt Carriers LLC,MC-618342,3153715,SNBC,Active,Active,"$1,000,000","$250,000","$1,000,000",Satisfactory,60,10.4%,176,213,Dry Van,TN,Net 15,82,Low,2026-02-13,2027-02-02,Active
Northstar Logistics,MC-556783,1140168,NRST,Active,Active,"$1,000,000","$250,000","$500,000",None,26,3.6%,94,137,Flatbed,AL,Net 30,68,High,2026-03-19,2026-09-09,Pending
Allegheny Freight Co,MC-445673,1267893,ALGH,Active,Active,"$1,000,000","$250,000","$1,000,000",Satisfactory,40,17.5%,272,292,Dry Van/Flatbed,NJ,Net 15,88,Low,2026-03-19,2026-09-15,Active
Badger Freight Inc,MC-990128,1078421,BDGR,Active,Active,"$750,000","$250,000","$2,000,000",None,24,6.3%,275,347,Reefer,CT,Net 30,94,Low,2026-02-04,2026-12-07,Active
Hoosier Express LLC,MC-112351,1294117,HOSR,Active,Lapsed,"$750,000","$100,000","$500,000",Satisfactory,39,4.2%,45,53,Reefer,TX,Net 30,93,Low,2026-01-27,2025-11-30,Expired
Pinnacle Freight LLC,MC-445674,2794762,PNCL,Active,Active,"$750,000","$250,000","$500,000",Satisfactory,91,6.2%,22,32,Dry Van/Flatbed,NJ,Net 15,85,High,2026-03-21,2026-11-22,Expired
Shenandoah Freight,MC-667896,2669139,SHND,Active,Active,"$1,000,000","$250,000","$1,000,000",Satisfactory,44,14.3%,230,254,Flatbed,NC,Net 15,76,High,2026-03-24,2026-08-01,Active
Dixie Freight LLC,MC-551234,1883608,DXFR,Active,Active,"$500,000","$250,000","$500,000",None,23,10.1%,285,370,Reefer/Dry Van,KY,Quick Pay,46,Medium,2026-03-15,2027-01-13,Active
Magnolia Transport,MC-662345,1448695,MGNT,Active,Active,"$1,000,000","$500,000","$1,000,000",Satisfactory,50,21.1%,94,128,Dry Van/Flatbed,MD,Quick Pay,75,Medium,2026-02-05,2026-11-06,Pending
Appalachian Haulers Inc,MC-773456,2459815,APLH,Active,Active,"$1,000,000","$100,000","$1,000,000",Satisfactory,27,6.2%,66,87,Reefer/Dry Van/Flatbed,ID,Net 30,98,Low,2026-01-28,2026-08-27,Active
Chesapeake Freight Co,MC-884567,3045567,CHSK,Active,Expired,"$750,000","$100,000","$2,000,000",Satisfactory,40,19.1%,87,126,Reefer,CT,Net 15,93,Medium,2026-03-02,2026-01-24,Active
Palmetto Express LLC,MC-995678,3702981,PLMT,Active,Active,"$1,000,000","$250,000","$500,000",Conditional,32,10.4%,273,282,Dry Van,CT,Net 15,88,Medium,2026-02-08,2026-05-28,Active
