receipt_id,sku,quantity,unit_of_measure,receipt_date,receipt_time,supplier
GR-70001,BM-1141,79,EA,2025-01-27,08:16:19,Nordic Supply AB
GR-70001,EL-1014,328,SET,2025-01-27,08:16:19,Nordic Supply AB
GR-70001,OF-1058,500,EA,2025-01-27,08:16:19,Nordic Supply AB
GR-70001,SP-1076,288,EA,2025-01-27,08:16:19,Nordic Supply AB
GR-70001,HK-1033,162,EA,2025-01-27,08:16:19,Nordic Supply AB
GR-70002,PS-1116,391,EA,2025-01-25,21:10:01,Pacific Trade Ltd
GR-70002,HK-1025,291,EA,2025-01-25,21:10:01,Pacific Trade Ltd
GR-70002,HB-1064,315,PK,2025-01-25,21:10:01,Pacific Trade Ltd
GR-70002,SP-1082,401,EA,2025-01-25,21:10:01,Pacific Trade Ltd
GR-70003,HB-1061,224,EA,2025-01-04,08:29:58,Pacific Trade Ltd
GR-70003,OF-1059,252,SET,2025-01-04,08:29:58,Pacific Trade Ltd
GR-70003,EL-1019,27,PK,2025-01-04,08:29:58,Pacific Trade Ltd
GR-70003,CA-1100,139,EA,2025-01-04,08:29:58,Pacific Trade Ltd
GR-70004,SP-1084,126,EA,2025-01-07,16:56:37,EuroDistrib GmbH
GR-70004,HK-1031,449,SET,2025-01-07,16:56:37,EuroDistrib GmbH
GR-70004,AU-1134,296,SET,2025-01-07,16:56:37,EuroDistrib GmbH
GR-70004,PS-1118,28,EA,2025-01-07,16:56:37,EuroDistrib GmbH
GR-70005,HB-1073,353,EA,2025-01-25,17:02:57,Alpine Components AG
GR-70006,SP-1080,178,PK,2025-01-05,10:56:53,Alpine Components AG
GR-70006,SP-1083,68,EA,2025-01-05,10:56:53,Alpine Components AG
GR-70006,HK-1024,129,SET,2025-01-05,10:56:53,Alpine Components AG
GR-70006,AU-1133,282,EA,2025-01-05,10:56:53,Alpine Components AG
GR-70006,EL-1009,243,EA,2025-01-05,10:56:53,Alpine Components AG
GR-70006,OF-1058,212,EA,2025-01-05,10:56:53,Alpine Components AG
GR-70006,SP-1089,490,EA,2025-01-05,10:56:53,Alpine Components AG
GR-70006,OF-1044,90,SET,2025-01-05,10:56:53,Alpine Components AG
GR-70006,CA-1102,114,PK,2025-01-05,10:56:53,Alpine Components AG
GR-70006,OF-1043,259,EA,2025-01-05,10:56:53,Alpine Components AG
GR-70006,EL-1012,408,EA,2025-01-05,10:56:53,Alpine Components AG
GR-70007,OF-1044,274,SET,2025-01-05,08:39:33,MediterraneanGoods SL
GR-70007,EL-1015,454,EA,2025-01-05,08:39:33,MediterraneanGoods SL
GR-70007,AU-1134,357,SET,2025-01-05,08:39:33,MediterraneanGoods SL
GR-70007,PS-1116,408,EA,2025-01-05,08:39:33,MediterraneanGoods SL
GR-70007,SP-1085,196,SET,2025-01-05,08:39:33,MediterraneanGoods SL
GR-70007,CA-1091,209,EA,2025-01-05,08:39:33,MediterraneanGoods SL
GR-70007,HB-1068,414,EA,2025-01-05,08:39:33,MediterraneanGoods SL
GR-70007,OF-1053,171,EA,2025-01-05,08:39:33,MediterraneanGoods SL
GR-70007,PS-1118,345,EA,2025-01-05,08:39:33,MediterraneanGoods SL
GR-70007,BM-1140,70,EA,2025-01-05,08:39:33,MediterraneanGoods SL
GR-70007,HK-1033,214,EA,2025-01-05,08:39:33,MediterraneanGoods SL
GR-70007,HB-1072,27,EA,2025-01-05,08:39:33,MediterraneanGoods SL
GR-70008,SP-1076,218,EA,2025-01-27,06:18:02,Nordic Supply AB
GR-70008,PS-1116,148,EA,2025-01-27,06:18:02,Nordic Supply AB
GR-70008,EL-1006,444,EA,2025-01-27,06:18:02,Nordic Supply AB
GR-70008,HB-1061,234,EA,2025-01-27,06:18:02,Nordic Supply AB
GR-70008,OF-1057,301,EA,2025-01-27,06:18:02,Nordic Supply AB
GR-70008,HK-1040,84,SET,2025-01-27,06:18:02,Nordic Supply AB
GR-70009,AU-1134,251,SET,2025-01-08,06:06:20,EuroDistrib GmbH
GR-70009,HK-1039,348,SET,2025-01-08,06:06:20,EuroDistrib GmbH
GR-70009,CA-1093,30,EA,2025-01-08,06:06:20,EuroDistrib GmbH
GR-70009,TG-1112,141,EA,2025-01-08,06:06:20,EuroDistrib GmbH
GR-70009,BM-1137,32,SET,2025-01-08,06:06:20,EuroDistrib GmbH
GR-70009,AU-1128,490,PK,2025-01-08,06:06:20,EuroDistrib GmbH
GR-70009,CA-1104,14,EA,2025-01-08,06:06:20,EuroDistrib GmbH
GR-70009,SP-1079,190,EA,2025-01-08,06:06:20,EuroDistrib GmbH
GR-70009,HK-1027,494,SET,2025-01-08,06:06:20,EuroDistrib GmbH
GR-70010,EL-1005,33,EA,2025-01-28,14:38:37,Rhine Valley Logistik
GR-70011,HB-1070,198,EA,2025-01-31,17:18:55,Rhine Valley Logistik
GR-70012,CA-1092,39,PK,2025-01-20,09:46:58,EuroDistrib GmbH
GR-70012,OF-1042,21,EA,2025-01-20,09:46:58,EuroDistrib GmbH
GR-70012,SP-1089,185,EA,2025-01-20,09:46:58,EuroDistrib GmbH
GR-70012,SP-1083,75,EA,2025-01-20,09:46:58,EuroDistrib GmbH
GR-70012,BM-1139,313,PK,2025-01-20,09:46:58,EuroDistrib GmbH
GR-70012,EL-1004,155,EA,2025-01-20,09:46:58,EuroDistrib GmbH
GR-70013,HB-1065,354,EA,2025-01-21,19:49:14,MediterraneanGoods SL
GR-70013,BM-1136,53,SET,2025-01-21,19:49:14,MediterraneanGoods SL
GR-70013,EL-1007,207,SET,2025-01-21,19:49:14,MediterraneanGoods SL
GR-70013,EL-1013,240,EA,2025-01-21,19:49:14,MediterraneanGoods SL
GR-70013,HK-1025,202,EA,2025-01-21,19:49:14,MediterraneanGoods SL
GR-70013,AU-1130,224,SET,2025-01-21,19:49:14,MediterraneanGoods SL
GR-70013,CA-1103,26,EA,2025-01-21,19:49:14,MediterraneanGoods SL
GR-70013,HB-1070,87,EA,2025-01-21,19:49:14,MediterraneanGoods SL
GR-70013,CA-1096,51,EA,2025-01-21,19:49:14,MediterraneanGoods SL
GR-70013,CA-1091,142,EA,2025-01-21,19:49:14,MediterraneanGoods SL
GR-70013,TG-1107,159,EA,2025-01-21,19:49:14,MediterraneanGoods SL
GR-70013,OF-1046,393,EA,2025-01-21,19:49:14,MediterraneanGoods SL
GR-70014,CA-1100,417,EA,2025-01-06,21:46:34,Shenzhen Tech Co.
GR-70014,CA-1105,406,SET,2025-01-06,21:46:34,Shenzhen Tech Co.
GR-70015,HK-1033,481,EA,2025-01-22,07:54:49,Nordic Supply AB
GR-70015,HK-1024,408,SET,2025-01-22,07:54:49,Nordic Supply AB
GR-70015,AU-1133,126,EA,2025-01-22,07:54:49,Nordic Supply AB
GR-70015,SP-1090,453,EA,2025-01-22,07:54:49,Nordic Supply AB
GR-70015,PS-1116,71,EA,2025-01-22,07:54:49,Nordic Supply AB
GR-70015,HK-1022,252,EA,2025-01-22,07:54:49,Nordic Supply AB
GR-70015,CA-1103,358,EA,2025-01-22,07:54:49,Nordic Supply AB
GR-70016,SP-1086,46,SET,2025-01-17,15:40:24,Shenzhen Tech Co.
GR-70016,CA-1091,263,EA,2025-01-17,15:40:24,Shenzhen Tech Co.
GR-70016,CA-1097,210,PK,2025-01-17,15:40:24,Shenzhen Tech Co.
GR-70016,HK-1021,53,EA,2025-01-17,15:40:24,Shenzhen Tech Co.
GR-70016,CA-1099,192,SET,2025-01-17,15:40:24,Shenzhen Tech Co.
GR-70016,HB-1063,86,PK,2025-01-17,15:40:24,Shenzhen Tech Co.
GR-70017,SP-1087,353,EA,2025-01-19,09:11:17,Baltic Imports Oy
GR-70018,SP-1086,149,SET,2025-01-02,17:35:54,Pacific Trade Ltd
GR-70018,OF-1056,384,EA,2025-01-02,17:35:54,Pacific Trade Ltd
GR-70018,SP-1088,247,EA,2025-01-02,17:35:54,Pacific Trade Ltd
GR-70018,HB-1066,400,EA,2025-01-02,17:35:54,Pacific Trade Ltd
GR-70018,AU-1132,278,PK,2025-01-02,17:35:54,Pacific Trade Ltd
GR-70019,HB-1069,218,EA,2025-01-05,21:22:09,Atlas Wholesale Inc
GR-70019,CA-1105,166,SET,2025-01-05,21:22:09,Atlas Wholesale Inc
GR-70019,CA-1099,74,SET,2025-01-05,21:22:09,Atlas Wholesale Inc
GR-70019,HB-1064,229,PK,2025-01-05,21:22:09,Atlas Wholesale Inc
GR-70019,PS-1119,392,EA,2025-01-05,21:22:09,Atlas Wholesale Inc
GR-70019,HB-1073,307,EA,2025-01-05,21:22:09,Atlas Wholesale Inc
GR-70019,TG-1111,229,EA,2025-01-05,21:22:09,Atlas Wholesale Inc
GR-70019,EL-1001,329,PK,2025-01-05,21:22:09,Atlas Wholesale Inc
GR-70019,HK-1040,488,SET,2025-01-05,21:22:09,Atlas Wholesale Inc
GR-70019,HK-1040,331,SET,2025-01-05,21:22:09,Atlas Wholesale Inc
GR-70020,PS-1119,384,EA,2025-01-06,10:04:37,Rhine Valley Logistik
GR-70021,BM-1138,110,EA,2025-01-11,11:31:23,Rhine Valley Logistik
GR-70021,EL-1007,265,SET,2025-01-11,11:31:23,Rhine Valley Logistik
GR-70021,EL-1004,17,EA,2025-01-11,11:31:23,Rhine Valley Logistik
GR-70021,HK-1024,45,SET,2025-01-11,11:31:23,Rhine Valley Logistik
GR-70021,PS-1117,500,PK,2025-01-11,11:31:23,Rhine Valley Logistik
GR-70021,PS-1125,274,PK,2025-01-11,11:31:23,Rhine Valley Logistik
GR-70021,HB-1069,299,EA,2025-01-11,11:31:23,Rhine Valley Logistik
GR-70021,EL-1019,293,PK,2025-01-11,11:31:23,Rhine Valley Logistik
GR-70022,EL-1018,256,PK,2025-01-04,12:27:26,Alpine Components AG
GR-70022,OF-1045,409,EA,2025-01-04,12:27:26,Alpine Components AG
GR-70022,PS-1124,195,EA,2025-01-04,12:27:26,Alpine Components AG
GR-70022,HK-1034,292,EA,2025-01-04,12:27:26,Alpine Components AG
GR-70022,PS-1122,314,EA,2025-01-04,12:27:26,Alpine Components AG
GR-70022,SP-1081,56,PK,2025-01-04,12:27:26,Alpine Components AG
GR-70022,EL-1004,123,EA,2025-01-04,12:27:26,Alpine Components AG
GR-70022,EL-1015,110,EA,2025-01-04,12:27:26,Alpine Components AG
GR-70022,HB-1068,88,EA,2025-01-04,12:27:26,Alpine Components AG
GR-70022,SP-1076,466,EA,2025-01-04,12:27:26,Alpine Components AG
GR-70023,CA-1100,400,EA,2025-01-25,20:36:16,MediterraneanGoods SL
GR-70023,EL-1007,200,SET,2025-01-25,20:36:16,MediterraneanGoods SL
GR-70023,BM-1141,114,EA,2025-01-25,20:36:16,MediterraneanGoods SL
GR-70023,TG-1111,299,EA,2025-01-25,20:36:16,MediterraneanGoods SL
GR-70023,SP-1086,465,SET,2025-01-25,20:36:16,MediterraneanGoods SL
GR-70023,SP-1084,394,EA,2025-01-25,20:36:16,MediterraneanGoods SL
GR-70023,OF-1060,66,PK,2025-01-25,20:36:16,MediterraneanGoods SL
GR-70023,CA-1099,361,SET,2025-01-25,20:36:16,MediterraneanGoods SL
GR-70023,SP-1088,297,EA,2025-01-25,20:36:16,MediterraneanGoods SL
GR-70023,EL-1018,379,PK,2025-01-25,20:36:16,MediterraneanGoods SL
GR-70023,PS-1116,33,EA,2025-01-25,20:36:16,MediterraneanGoods SL
GR-70024,CA-1098,295,EA,2025-01-02,07:42:24,Iberia Distribuciones
GR-70024,EL-1018,362,PK,2025-01-02,07:42:24,Iberia Distribuciones
GR-70024,SP-1084,99,EA,2025-01-02,07:42:24,Iberia Distribuciones
GR-70024,OF-1059,241,SET,2025-01-02,07:42:24,Iberia Distribuciones
GR-70024,OF-1050,166,EA,2025-01-02,07:42:24,Iberia Distribuciones
GR-70024,CA-1101,488,EA,2025-01-02,07:42:24,Iberia Distribuciones
GR-70024,OF-1060,305,PK,2025-01-02,07:42:24,Iberia Distribuciones
GR-70024,HB-1062,458,EA,2025-01-02,07:42:24,Iberia Distribuciones
GR-70024,HK-1022,309,EA,2025-01-02,07:42:24,Iberia Distribuciones
GR-70024,OF-1041,397,EA,2025-01-02,07:42:24,Iberia Distribuciones
GR-70024,HK-1030,486,EA,2025-01-02,07:42:24,Iberia Distribuciones
