order_id,orderline_id,sku,quantity,picking_unit,unit_of_measure,order_type,order_date,picking_date,ship_date,ship_time,customer_id,shipping_method
SO-100001,SO-100001-1,10475,9,single,piece,first allocation,2024-01-02,2024-01-02,2024-01-02,13:57:00,CUST-0089,Freight
SO-100001,SO-100001-2,10006,7,single,piece,first allocation,2024-01-02,2024-01-02,2024-01-02,13:57:00,CUST-0089,Freight
SO-100001,SO-100001-3,10215,1,single,piece,first allocation,2024-01-02,2024-01-02,2024-01-02,13:57:00,CUST-0089,Freight
SO-100001,SO-100001-4,10489,17,case,piece,first allocation,2024-01-02,2024-01-02,2024-01-02,13:57:00,CUST-0089,Freight
SO-100001,SO-100001-5,10334,19,case,piece,first allocation,2024-01-02,2024-01-02,2024-01-02,13:57:00,CUST-0089,Freight
SO-100001,SO-100001-6,10266,8,single,piece,first allocation,2024-01-02,2024-01-02,2024-01-02,13:57:00,CUST-0089,Freight
SO-100001,SO-100001-7,10096,4,single,piece,first allocation,2024-01-02,2024-01-02,2024-01-02,13:57:00,CUST-0089,Freight
SO-100001,SO-100001-8,10015,21,case,piece,first allocation,2024-01-02,2024-01-02,2024-01-02,13:57:00,CUST-0089,Freight
SO-100001,SO-100001-9,10451,17,case,piece,first allocation,2024-01-02,2024-01-02,2024-01-02,13:57:00,CUST-0089,Freight
SO-100001,SO-100001-10,10183,7,single,piece,first allocation,2024-01-02,2024-01-02,2024-01-02,13:57:00,CUST-0089,Freight
SO-100002,SO-100002-1,10216,1,single,piece,store replenishment,2024-01-02,2024-01-02,2024-01-02,10:50:00,CUST-0082,CEP
SO-100002,SO-100002-2,10157,12,single,piece,store replenishment,2024-01-02,2024-01-02,2024-01-02,10:50:00,CUST-0082,CEP
SO-100002,SO-100002-3,10435,15,case,piece,store replenishment,2024-01-02,2024-01-02,2024-01-02,10:50:00,CUST-0082,CEP
SO-100002,SO-100002-4,10249,17,case,piece,store replenishment,2024-01-02,2024-01-02,2024-01-02,10:50:00,CUST-0082,CEP
SO-100002,SO-100002-5,10139,9,single,piece,store replenishment,2024-01-02,2024-01-02,2024-01-02,10:50:00,CUST-0082,CEP
