t_ms,r,g,b
0,140.326,128.326,118.326
33,139.255,125.215,117.574
67,138.479,122.948,117.031
100,138.183,122.040,116.828
133,138.363,122.488,116.963
167,138.857,123.847,117.317
200,139.444,125.503,117.733
233,139.961,126.995,118.092
267,140.371,128.202,118.373
300,140.753,129.320,118.637
333,141.222,130.639,118.968
367,141.818,132.262,119.399
400,142.452,133.938,119.866
433,142.919,135.113,120.219
467,142.994,135.180,120.292
500,142.548,133.811,119.989
533,141.635,131.170,119.347
567,140.488,127.915,118.531
600,139.429,124.942,117.772
633,138.741,123.032,117.275
667,138.550,122.535,117.130
700,138.798,123.287,117.296
733,139.293,124.755,117.636
767,139.825,126.345,118.000
800,140.271,127.699,118.300
833,140.637,128.819,118.547
867,141.026,129.959,118.815
900,141.532,131.374,119.177
933,142.155,133.053,119.632
967,142.756,134.623,120.079
1000,143.105,135.473,120.348
1033,142.994,135.053,120.286
1067,142.350,133.182,119.835
1100,141.291,130.203,119.079
1133,140.094,126.892,118.216
1167,139.089,124.151,117.484
1200,138.517,122.648,117.059
1233,138.448,122.564,116.993
1267,138.772,123.587,117.208
1300,139.282,125.129,117.555
1333,139.787,126.651,117.900
1367,140.205,127.909,118.186
1400,140.582,129.011,118.449
1433,141.024,130.239,118.769
1467,141.601,131.778,119.195
1500,142.261,133.495,119.689
1533,142.821,134.907,120.117
1567,143.044,135.384,120.301
1600,142.754,134.467,120.111
1633,141.938,132.146,119.535
1667,140.781,128.934,118.704
1700,139.593,125.691,117.843
1733,138.694,123.285,117.184
1767,138.278,122.242,116.869
1800,138.354,122.570,116.908
1833,138.771,123.836,117.193
1867,139.313,125.431,117.572
1900,139.818,126.895,117.928
1933,140.248,128.105,118.237
1967,140.673,129.249,118.551
2000,141.195,130.607,118.945
2033,141.846,132.268,119.439
2067,142.523,133.970,119.956
2100,143.011,135.149,120.338
2133,143.078,135.193,120.412
2167,142.597,133.772,120.082
2200,141.623,131.055,119.387
2233,140.398,127.706,118.500
2267,139.256,124.634,117.666
2300,138.489,122.630,117.097
2333,138.237,122.058,116.899
2367,138.450,122.761,117.038
2400,138.943,124.211,117.382
2433,139.504,125.817,117.782
2467,140.006,127.214,118.146
2500,140.448,128.396,118.474
2533,140.919,129.607,118.831
2567,141.504,131.088,119.278
2600,142.188,132.817,119.800
2633,142.824,134.412,120.287
2667,143.178,135.257,120.567
2700,143.042,134.801,120.483
2733,142.345,132.869,119.984
2767,141.216,129.811,119.162
2800,139.943,126.416,118.227
2833,138.867,123.599,117.428
2867,138.242,122.036,116.953
2900,138.145,121.918,116.862
2933,138.472,122.939,117.081
2967,139.013,124.508,117.462
3000,139.574,126.082,117.864
3033,140.062,127.408,118.223
3067,140.513,128.581,118.561
3100,141.020,129.872,118.945
3133,141.641,131.456,119.416
3167,142.317,133.188,119.926
3200,142.861,134.585,120.337
3233,143.037,135.017,120.474
3267,142.674,134.031,120.210
3300,141.771,131.625,119.545
3333,140.522,128.325,118.620
3367,139.251,125.004,117.674
3400,138.289,122.540,116.949
3433,137.837,121.467,116.595
3467,137.909,121.797,116.626
3500,138.350,123.095,116.932
3533,138.941,124.747,117.355
3567,139.509,126.282,117.770
3600,140.003,127.566,118.139
3633,140.483,128.776,118.504
3667,141.041,130.179,118.927
3700,141.700,131.859,119.424
3733,142.354,133.551,119.913
3767,142.793,134.692,120.239
3800,142.789,134.678,120.237
3833,142.227,133.189,119.819
3867,141.173,130.406,119.037
3900,139.882,127.004,118.078
3933,138.698,123.906,117.194
3967,137.922,121.906,116.608
4000,137.694,121.373,116.427
4033,137.962,122.147,116.614
4067,138.535,123.693,117.030
4100,139.190,125.408,117.516
4133,139.789,126.918,117.968
4167,140.318,128.203,118.375
4200,140.856,129.498,118.792
4233,141.482,131.036,119.271
4267,142.179,132.794,119.798
4300,142.803,134.393,120.265
4333,143.128,135.225,120.507
4367,142.955,134.750,120.378
4400,142.227,132.802,119.840
4433,141.084,129.747,118.996
4467,139.824,126.381,118.066
4500,138.793,123.625,117.304
4533,138.247,122.157,116.901
4567,138.260,122.164,116.911
4600,138.718,123.331,117.254
4633,139.401,125.058,117.770
4667,140.102,126.786,118.306
4700,140.718,128.254,118.784
4733,141.273,129.545,119.219
4767,141.855,130.925,119.672
4800,142.522,132.566,120.182
4833,143.216,134.330,120.704
4867,143.761,135.740,121.110
4900,143.930,136.176,121.233
4933,143.564,135.198,120.962
4967,142.675,132.816,120.305
5000,141.464,129.564,119.414
5033,140.261,126.319,118.530
5067,139.394,123.960,117.897
5100,139.064,123.016,117.661
5133,139.272,123.490,117.825
5167,139.854,124.935,118.269
5200,140.577,126.725,118.820
5233,141.256,128.377,119.344
5267,141.833,129.748,119.793
5300,142.361,131.009,120.204
5333,142.932,132.428,120.639
5367,143.575,134.094,121.119
5400,144.192,135.751,121.571
