Carrier Name,MC Number,DOT Number,SCAC,Authority Status,Insurance Status,Auto Liability,Cargo Insurance,General Liability,Safety Rating,CSA Score,Out of Service Rate,Power Units,Drivers,Equipment Types,Home State,Payment Terms,Reliability Score,Risk Score,Last Verified,Insurance Expiry,Contract Status
Swift Transport LLC,MC-284927,1234567,SWFT,Active,Active,1000000,100000,1000000,Satisfactory,42,3.2,85,110,"Reefer,Dry Van",FL,Net 30,92,Low,2026-03-15,2026-09-15,Active
Eagle Freight Inc,MC-391054,2345678,EGFR,Active,Active,1000000,100000,1000000,Satisfactory,38,2.8,42,55,"Reefer,Dry Van",GA,Net 30,88,Low,2026-03-15,2026-11-20,Active
Patriot Trucking Corp,MC-502187,3456789,PTRC,Active,Active,1000000,100000,1000000,Satisfactory,55,4.1,28,35,"Reefer,Dry Van,Flatbed",NC,Net 30,85,Low,2026-03-15,2026-08-30,Active
Sunbelt Carriers LLC,MC-618342,4567890,SNBT,Active,Active,1000000,100000,1000000,Satisfactory,35,2.1,15,20,"Reefer,Dry Van",FL,Quick Pay,91,Low,2026-03-15,2026-07-10,Active
Mountain West Transport,MC-729415,5678901,MWST,Active,Active,1000000,100000,1000000,Satisfactory,61,5.5,62,80,"Reefer,Dry Van,Flatbed",ID,Net 30,79,Medium,2026-03-15,2026-06-05,Active
Pacific Coast Logistics,MC-834528,6789012,PCLT,Active,Active,1000000,100000,1000000,Satisfactory,48,3.9,35,45,"Reefer,Dry Van",CA,Net 30,83,Low,2026-03-15,2027-01-15,Active
Volunteer Express Inc,MC-145672,7890123,VLEX,Active,Active,1000000,100000,1000000,Satisfactory,40,3.0,18,22,"Reefer,Dry Van",TN,Quick Pay,87,Low,2026-03-15,2026-10-22,Active
Buckeye Freight Systems,MC-256783,8901234,BKFS,Active,Active,1000000,100000,1000000,Satisfactory,33,2.5,22,28,"Reefer,Dry Van",OH,Net 30,90,Low,2026-03-15,2026-12-01,Active
Keystone Carriers Inc,MC-367894,9012345,KYCR,Active,Active,1000000,100000,1000000,Satisfactory,45,3.5,30,38,"Reefer,Dry Van,Flatbed",PA,Net 30,86,Low,2026-03-15,2026-09-28,Active
Evergreen Transport LLC,MC-478905,1023456,EVGR,Active,Active,1000000,100000,1000000,Satisfactory,30,1.8,12,15,"Reefer,Dry Van",NJ,Quick Pay,93,Low,2026-03-15,2026-08-15,Active
Palmetto Freight LLC,MC-589016,1134567,PLMF,Active,Active,1000000,100000,1000000,Satisfactory,58,5.0,8,10,"Reefer,Dry Van",SC,Factoring,76,Medium,2026-03-15,2026-04-18,Active
Dixie Line Trucking,MC-690127,1245678,DXLN,Active,Active,750000,100000,500000,Conditional,65,6.2,5,6,Reefer,AL,Quick Pay,72,Medium,2026-03-15,2026-05-01,Active
Great Lakes Express,MC-801238,1356789,GLEX,Active,Active,1000000,100000,1000000,Satisfactory,41,3.3,45,58,"Reefer,Dry Van",MI,Net 30,89,Low,2026-03-15,2026-11-10,Active
Lone Star Freight,MC-912349,1467890,LSFR,Active,Active,1000000,100000,1000000,Satisfactory,50,4.0,55,70,"Reefer,Dry Van,Flatbed",TX,Net 30,84,Low,2026-03-15,2026-10-05,Active
Blue Ridge Transport,MC-123450,1578901,BLRG,Active,Active,1000000,100000,1000000,Satisfactory,52,4.5,10,12,"Reefer,Dry Van",VA,Quick Pay,80,Low,2026-03-15,2026-07-22,Active
Peach State Carriers,MC-234561,1689012,PCHC,Active,Lapsed,750000,100000,500000,Satisfactory,78,7.1,6,8,Reefer,GA,Factoring,68,High,2026-03-15,2026-02-28,Suspended
