Container ID,Size,Type,Origin Ramp,Origin City,Origin State,Destination Ramp,Destination City,Destination State,Rail Carrier,Dray Carrier,Pickup Date,Delivery Date,Rail Rate,Dray Rate,Total Rate,Customer Charge,Status,Commodity,Weight,Chassis Provider,Last Free Day,Demurrage Days,Per Diem Charges
BNSFU2034518,53ft,Domestic,BNSF Logistics Park,Chicago,IL,BNSF Hobart Yard,Los Angeles,CA,BNSF,Pacific Drayage Inc,2026-03-01,2026-03-06,2800.00,650.00,3450.00,4200.00,delivered,Consumer Electronics,38000,TRAC Intermodal,2026-03-07,0,0.00
UPHU7291034,53ft,Domestic,UP Global 4,Chicago,IL,UP ICTF,Los Angeles,CA,UP,SoCal Drayage LLC,2026-03-01,2026-03-06,2750.00,680.00,3430.00,4150.00,delivered,Packaged Foods,42000,Flexi-Van Leasing,2026-03-07,0,0.00
BNSFU2089347,53ft,Domestic,BNSF Alliance,Dallas,TX,BNSF San Bernardino,San Bernardino,CA,BNSF,Inland Empire Dray,2026-03-02,2026-03-06,2400.00,420.00,2820.00,3500.00,delivered,Paper Products,40000,TRAC Intermodal,2026-03-07,0,0.00
NSZU4015682,53ft,Domestic,NS Landers,Chicago,IL,NS Austell,Atlanta,GA,NS,Peach State Drayage,2026-03-02,2026-03-04,1400.00,380.00,1780.00,2300.00,delivered,Automotive Parts,36000,Direct ChassisLink,2026-03-05,0,0.00
CSXU3082714,40ft,ISO,CSX 59th Street,Chicago,IL,CSX Fairburn,Atlanta,GA,CSX,Peach State Drayage,2026-03-03,2026-03-05,1350.00,350.00,1700.00,2200.00,delivered,Textile Imports,28000,Direct ChassisLink,2026-03-06,0,0.00
BNSFU2045921,53ft,Domestic,BNSF Logistics Park,Chicago,IL,BNSF Seattle ISG,Seattle,WA,BNSF,Puget Sound Dray Co,2026-03-03,2026-03-08,3200.00,580.00,3780.00,4500.00,delivered,Retail Merchandise,44000,TRAC Intermodal,2026-03-09,0,0.00
UPHU7318456,53ft,Domestic,UP Joliet,Chicago,IL,UP Oakland,Oakland,CA,UP,Bay Area Drayage,2026-03-04,2026-03-09,2900.00,620.00,3520.00,4300.00,delivered,Household Goods,40000,Flexi-Van Leasing,2026-03-10,0,0.00
BNSFU2061283,53ft,Domestic,BNSF Alliance,Dallas,TX,BNSF Memphis,Memphis,TN,BNSF,Bluff City Dray LLC,2026-03-04,2026-03-06,1100.00,340.00,1440.00,1900.00,delivered,Industrial Chemicals,34000,TRAC Intermodal,2026-03-07,0,0.00
UPHU7340892,40ft,ISO,UP Global 4,Chicago,IL,UP ICTF,Los Angeles,CA,UP,Pacific Drayage Inc,2026-03-05,2026-03-10,2600.00,650.00,3250.00,3900.00,delivered,Furniture Components,30000,Flexi-Van Leasing,2026-03-11,0,0.00
NSZU4028195,53ft,Domestic,NS Landers,Chicago,IL,NS Charlotte,Charlotte,NC,NS,Carolina Intermodal Dray,2026-03-05,2026-03-07,1500.00,400.00,1900.00,2500.00,delivered,Building Materials,46000,Direct ChassisLink,2026-03-08,0,0.00
BNSFU2078564,53ft,Domestic,BNSF Logistics Park,Chicago,IL,BNSF Phoenix,Phoenix,AZ,BNSF,Desert Drayage Inc,2026-03-06,2026-03-11,2600.00,480.00,3080.00,3800.00,delivered,Canned Goods,38000,TRAC Intermodal,2026-03-12,3,450.00
CSXU3095148,40ft,ISO,CSX 59th Street,Chicago,IL,CSX Jacksonville,Jacksonville,FL,CSX,First Coast Dray LLC,2026-03-06,2026-03-09,1800.00,420.00,2220.00,2800.00,delivered,Plastic Resins,32000,Direct ChassisLink,2026-03-10,4,600.00
UPHU7362510,53ft,Domestic,UP Global 4,Chicago,IL,UP Denver,Denver,CO,UP,Mile High Drayage,2026-03-07,2026-03-10,1600.00,380.00,1980.00,2600.00,delivered,Pet Food,42000,Flexi-Van Leasing,2026-03-11,2,300.00
BNSFU2091837,53ft,Domestic,BNSF Alliance,Dallas,TX,BNSF San Bernardino,San Bernardino,CA,BNSF,Inland Empire Dray,2026-03-07,2026-03-11,2400.00,420.00,2820.00,3500.00,delivered,Beverages,40000,TRAC Intermodal,2026-03-12,0,0.00
NSZU4041628,53ft,Domestic,NS Landers,Chicago,IL,NS Austell,Atlanta,GA,NS,Peach State Drayage,2026-03-08,2026-03-10,1400.00,380.00,1780.00,2350.00,delivered,Medical Supplies,26000,Direct ChassisLink,2026-03-11,0,0.00
BNSFU2104295,53ft,Domestic,BNSF Logistics Park,Chicago,IL,BNSF Hobart Yard,Los Angeles,CA,BNSF,SoCal Drayage LLC,2026-03-09,2026-03-14,2800.00,680.00,3480.00,4250.00,in_transit,Electronics,38000,TRAC Intermodal,2026-03-15,0,0.00
UPHU7385923,53ft,Domestic,UP Joliet,Chicago,IL,UP ICTF,Los Angeles,CA,UP,Pacific Drayage Inc,2026-03-09,2026-03-14,2750.00,650.00,3400.00,4100.00,in_transit,Packaged Foods,44000,Flexi-Van Leasing,2026-03-15,0,0.00
BNSFU2117468,53ft,Domestic,BNSF Alliance,Dallas,TX,BNSF Seattle ISG,Seattle,WA,BNSF,Puget Sound Dray Co,2026-03-10,2026-03-16,3400.00,580.00,3980.00,4800.00,in_transit,Retail Merchandise,40000,TRAC Intermodal,2026-03-17,0,0.00
CSXU3108572,20ft,ISO,CSX 59th Street,Chicago,IL,CSX Fairburn,Atlanta,GA,CSX,Peach State Drayage,2026-03-10,2026-03-12,950.00,350.00,1300.00,1700.00,in_transit,Chemical Samples,14000,Direct ChassisLink,2026-03-13,0,0.00
UPHU7401346,40ft,ISO,UP Global 4,Chicago,IL,UP Oakland,Oakland,CA,UP,Bay Area Drayage,2026-03-11,2026-03-16,2600.00,620.00,3220.00,3950.00,in_transit,Furniture,32000,Flexi-Van Leasing,2026-03-17,0,0.00
BNSFU2130721,53ft,Domestic,BNSF Logistics Park,Chicago,IL,BNSF Memphis,Memphis,TN,BNSF,Bluff City Dray LLC,2026-03-12,2026-03-14,1100.00,340.00,1440.00,1950.00,in_transit,Paper Products,36000,TRAC Intermodal,2026-03-15,0,0.00
NSZU4054839,53ft,Domestic,NS Landers,Chicago,IL,NS Charlotte,Charlotte,NC,NS,Carolina Intermodal Dray,2026-03-12,2026-03-14,1500.00,400.00,1900.00,2450.00,in_transit,Automotive Parts,42000,Direct ChassisLink,2026-03-15,0,0.00
UPHU7424718,53ft,Domestic,UP Joliet,Chicago,IL,UP Denver,Denver,CO,UP,Mile High Drayage,2026-03-13,2026-03-16,1600.00,380.00,1980.00,2550.00,in_transit,Consumer Goods,38000,Flexi-Van Leasing,2026-03-17,0,0.00
BNSFU2143094,53ft,Domestic,BNSF Alliance,Dallas,TX,BNSF Hobart Yard,Los Angeles,CA,BNSF,Pacific Drayage Inc,2026-03-14,,2400.00,650.00,3050.00,3800.00,at_ramp,Canned Goods,40000,TRAC Intermodal,2026-03-18,5,750.00
UPHU7448091,40ft,ISO,UP Global 4,Chicago,IL,UP ICTF,Los Angeles,CA,UP,SoCal Drayage LLC,2026-03-14,,2600.00,680.00,3280.00,4000.00,at_ramp,Textile Imports,28000,Flexi-Van Leasing,2026-03-17,6,900.00
BNSFU2156437,53ft,Domestic,BNSF Logistics Park,Chicago,IL,BNSF Phoenix,Phoenix,AZ,BNSF,Desert Drayage Inc,2026-03-15,,2600.00,480.00,3080.00,3750.00,at_ramp,Household Goods,44000,TRAC Intermodal,2026-03-19,4,600.00
CSXU3121905,20ft,ISO,CSX Bedford Park,Chicago,IL,CSX Jacksonville,Jacksonville,FL,CSX,First Coast Dray LLC,2026-03-15,,1800.00,420.00,2220.00,2700.00,at_ramp,Plastic Resins,16000,Direct ChassisLink,2026-03-18,5,750.00
BNSFU2169780,53ft,Domestic,BNSF Alliance,Dallas,TX,BNSF San Bernardino,San Bernardino,CA,BNSF,Inland Empire Dray,2026-03-16,,2400.00,420.00,2820.00,3500.00,drayage,Industrial Equipment,46000,TRAC Intermodal,2026-03-20,3,450.00
UPHU7471463,40ft,ISO,UP Joliet,Chicago,IL,UP Oakland,Oakland,CA,UP,Bay Area Drayage,2026-03-16,,2900.00,620.00,3520.00,4200.00,drayage,Beverage Imports,30000,Flexi-Van Leasing,2026-03-20,3,450.00
